Source Name,Sample Name,Characteristics: Organism,Factor Value: Strain,Characteristics: sex,Characteristics: Material Type,Protocol REF,Comment: plate,Comment: plate well,Protocol REF,Factor Value: Ionizing Radiation,Factor Value: Particle Charge,Factor Value: HZE,Parameter Value: ionizing radiation energy,Parameter Value: linear energy transfer,Parameter Value: absorbed radiation dose rate,Factor Value: Absorbed Radiation Dose,Factor Value: Time of Sample Collection After Treatment,Parameter Value: average fractionated dose rate,Parameter Value: exposure duration,Parameter Value: ionizing radiation source,Parameter Value: ionizing radiation facility
CBAM2,CBAM2_P247_C1_CBA_MALE_1,Mus musculus,CBA/CaJ,male,primary cultured fibroblast cell,growth protocol,P247,C1,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CBAM3,CBAM3_P247_D1_CBA_MALE_1,Mus musculus,CBA/CaJ,male,primary cultured fibroblast cell,growth protocol,P247,D1,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
202CC,202CC_P247_D8_CC002_FEMALE_1,Mus musculus,CC002,female,primary cultured fibroblast cell,growth protocol,P247,D8,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
208CC,208CC_P247_G6_CC002_MALE_1,Mus musculus,CC002,male,primary cultured fibroblast cell,growth protocol,P247,G6,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
247CC,247CC_P247_A1_CC002_MALE_1,Mus musculus,CC002,male,primary cultured fibroblast cell,growth protocol,P247,A1,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
907CC,907CC_P247_B8_CC002_MALE_1,Mus musculus,CC002,male,primary cultured fibroblast cell,growth protocol,P247,B8,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
254CC,254CC_P247_A7_CC011_FEMALE_1,Mus musculus,CC011,female,primary cultured fibroblast cell,growth protocol,P247,A7,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
937CC,937CC_P247_C5_CC011_FEMALE_1,Mus musculus,CC011,female,primary cultured fibroblast cell,growth protocol,P247,C5,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
938CC,938CC_P247_E6_CC011_FEMALE_1,Mus musculus,CC011,female,primary cultured fibroblast cell,growth protocol,P247,E6,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
251CC,251CC_P247_B7_CC011_MALE_1,Mus musculus,CC011,male,primary cultured fibroblast cell,growth protocol,P247,B7,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
934CC,934CC_P247_A10_CC011_MALE_1,Mus musculus,CC011,male,primary cultured fibroblast cell,growth protocol,P247,A10,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
226CC,226CC_P247_C4_CC013_FEMALE_1,Mus musculus,CC013,female,primary cultured fibroblast cell,growth protocol,P247,C4,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
253CC,253CC_P247_A2_CC013_FEMALE_1,Mus musculus,CC013,female,primary cultured fibroblast cell,growth protocol,P247,A2,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
942CC,942CC_P247_E5_CC013_FEMALE_1,Mus musculus,CC013,female,primary cultured fibroblast cell,growth protocol,P247,E5,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
213CC,213CC_P247_E8_CC013_MALE_1,Mus musculus,CC013,male,primary cultured fibroblast cell,growth protocol,P247,E8,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
235CC,235CC_P247_A3_CC013_MALE_1,Mus musculus,CC013,male,primary cultured fibroblast cell,growth protocol,P247,A3,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
236CC,236CC_P247_B6_CC013_MALE_1,Mus musculus,CC013,male,primary cultured fibroblast cell,growth protocol,P247,B6,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
927CC,927CC_P247_D6_CC019_FEMALE_1,Mus musculus,CC019,female,primary cultured fibroblast cell,growth protocol,P247,D6,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
928CC,928CC_P247_G7_CC019_FEMALE_1,Mus musculus,CC019,female,primary cultured fibroblast cell,growth protocol,P247,G7,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
919CC,919CC_P247_H7_CC019_MALE_1,Mus musculus,CC019,male,primary cultured fibroblast cell,growth protocol,P247,H7,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
925CC,925CC_P247_H8_CC019_MALE_1,Mus musculus,CC019,male,primary cultured fibroblast cell,growth protocol,P247,H8,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
233CC,233CC_P247_B5_CC032_FEMALE_1,Mus musculus,CC032,female,primary cultured fibroblast cell,growth protocol,P247,B5,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
903CC,903CC_P247_D7_CC032_MALE_1,Mus musculus,CC032,male,primary cultured fibroblast cell,growth protocol,P247,D7,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
906CC,906CC_P247_G8_CC032_MALE_1,Mus musculus,CC032,male,primary cultured fibroblast cell,growth protocol,P247,G8,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
263CC,263CC_P247_D2_CC037_FEMALE_1,Mus musculus,CC037,female,primary cultured fibroblast cell,growth protocol,P247,D2,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
882CC,882CC_P247_D10_CC037_FEMALE_1,Mus musculus,CC037,female,primary cultured fibroblast cell,growth protocol,P247,D10,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
946CC,946CC_P247_C9_CC037_FEMALE_1,Mus musculus,CC037,female,primary cultured fibroblast cell,growth protocol,P247,C9,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
220CC,220CC_P247_C2_CC037_MALE_1,Mus musculus,CC037,male,primary cultured fibroblast cell,growth protocol,P247,C2,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
239CC,239CC_P247_B3_CC037_MALE_1,Mus musculus,CC037,male,primary cultured fibroblast cell,growth protocol,P247,B3,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
894CC,894CC_P247_C10_CC037_MALE_1,Mus musculus,CC037,male,primary cultured fibroblast cell,growth protocol,P247,C10,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
258CC,258CC_P247_H5_CC040_FEMALE_1,Mus musculus,CC040,female,primary cultured fibroblast cell,growth protocol,P247,H5,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
951CC,951CC_P247_F5_CC040_FEMALE_1,Mus musculus,CC040,female,primary cultured fibroblast cell,growth protocol,P247,F5,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
954CC,954CC_P247_F6_CC040_MALE_1,Mus musculus,CC040,male,primary cultured fibroblast cell,growth protocol,P247,F6,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
261CC,261CC_P247_G5_CC042_FEMALE_1,Mus musculus,CC042,female,primary cultured fibroblast cell,growth protocol,P247,G5,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
915CC,915CC_P247_A5_CC042_FEMALE_1,Mus musculus,CC042,female,primary cultured fibroblast cell,growth protocol,P247,A5,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
921CC,921CC_P247_A9_CC051_FEMALE_1,Mus musculus,CC051,female,primary cultured fibroblast cell,growth protocol,P247,A9,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
922CC,922CC_P247_B9_CC051_FEMALE_1,Mus musculus,CC051,female,primary cultured fibroblast cell,growth protocol,P247,B9,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
923CC,923CC_P247_B10_CC051_FEMALE_1,Mus musculus,CC051,female,primary cultured fibroblast cell,growth protocol,P247,B10,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
280CC,280CC_P247_H6_CC051_MALE_1,Mus musculus,CC051,male,primary cultured fibroblast cell,growth protocol,P247,H6,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
260CC,260CC_P247_E7_CC061_FEMALE_1,Mus musculus,CC061,female,primary cultured fibroblast cell,growth protocol,P247,E7,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
893CC,893CC_P247_D9_CC061_FEMALE_1,Mus musculus,CC061,female,primary cultured fibroblast cell,growth protocol,P247,D9,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
255CC,255CC_P247_F8_CC061_MALE_1,Mus musculus,CC061,male,primary cultured fibroblast cell,growth protocol,P247,F8,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
256CC,256CC_P247_B1_CC061_MALE_1,Mus musculus,CC061,male,primary cultured fibroblast cell,growth protocol,P247,B1,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
257CC,257CC_P247_B2_CC061_MALE_1,Mus musculus,CC061,male,primary cultured fibroblast cell,growth protocol,P247,B2,irradiation protocol,non-irradiated,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,8 hour,Not Applicable,Not Applicable,Not Applicable,Not Applicable
B6C3F1,B6C3F1_P246_F4_B6C3_FEMALE_1,Mus musculus,B6C3 Mouse,female,primary cultured fibroblast cell,growth protocol,P246,F4,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
B6C3F2,B6C3F2_P246_E3_B6C3_FEMALE_1,Mus musculus,B6C3 Mouse,female,primary cultured fibroblast cell,growth protocol,P246,E3,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
B6C3F3,B6C3F3_P246_F3_B6C3_FEMALE_1,Mus musculus,B6C3 Mouse,female,primary cultured fibroblast cell,growth protocol,P246,F3,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
B6C3F1,B6C3F1_P270_F4_B6C3_FEMALE_2,Mus musculus,B6C3 Mouse,female,primary cultured fibroblast cell,growth protocol,P270,F4,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
B6C3F2,B6C3F2_P270_E3_B6C3_FEMALE_2,Mus musculus,B6C3 Mouse,female,primary cultured fibroblast cell,growth protocol,P270,E3,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
B6C3F3,B6C3F3_P270_F3_B6C3_FEMALE_2,Mus musculus,B6C3 Mouse,female,primary cultured fibroblast cell,growth protocol,P270,F3,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
B6C3M1,B6C3M1_P246_C3_B6C3_MALE_1,Mus musculus,B6C3 Mouse,male,primary cultured fibroblast cell,growth protocol,P246,C3,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
B6C3M2,B6C3M2_P246_D4_B6C3_MALE_1,Mus musculus,B6C3 Mouse,male,primary cultured fibroblast cell,growth protocol,P246,D4,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
B6C3M3,B6C3M3_P246_D3_B6C3_MALE_1,Mus musculus,B6C3 Mouse,male,primary cultured fibroblast cell,growth protocol,P246,D3,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
B6C3M1,B6C3M1_P270_C3_B6C3_MALE_2,Mus musculus,B6C3 Mouse,male,primary cultured fibroblast cell,growth protocol,P270,C3,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
B6C3M2,B6C3M2_P270_D4_B6C3_MALE_2,Mus musculus,B6C3 Mouse,male,primary cultured fibroblast cell,growth protocol,P270,D4,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
B6C3M3,B6C3M3_P270_D3_B6C3_MALE_2,Mus musculus,B6C3 Mouse,male,primary cultured fibroblast cell,growth protocol,P270,D3,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
BALBCF,BALBCF_P246_F7_BALBC_FEMALE_1,Mus musculus,BALB/cByJ,female,primary cultured fibroblast cell,growth protocol,P246,F7,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
BALBCF1,BALBCF1_P246_A8_BALBC_FEMALE_1,Mus musculus,BALB/cByJ,female,primary cultured fibroblast cell,growth protocol,P246,A8,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
BALBCF2,BALBCF2_P246_C7_BALBC_FEMALE_1,Mus musculus,BALB/cByJ,female,primary cultured fibroblast cell,growth protocol,P246,C7,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
BALBCF,BALBCF_P270_F7_BALBC_FEMALE_2,Mus musculus,BALB/cByJ,female,primary cultured fibroblast cell,growth protocol,P270,F7,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
BALBCF1,BALBCF1_P270_A8_BALBC_FEMALE_2,Mus musculus,BALB/cByJ,female,primary cultured fibroblast cell,growth protocol,P270,A8,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
BALBCF2,BALBCF2_P270_C7_BALBC_FEMALE_2,Mus musculus,BALB/cByJ,female,primary cultured fibroblast cell,growth protocol,P270,C7,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
BALBCM1,BALBCM1_P246_C8_BALBC_MALE_1,Mus musculus,BALB/cByJ,male,primary cultured fibroblast cell,growth protocol,P246,C8,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
BALBCM2,BALBCM2_P246_C6_BALBC_MALE_1,Mus musculus,BALB/cByJ,male,primary cultured fibroblast cell,growth protocol,P246,C6,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
BALBCM3,BALBCM3_P246_D5_BALBC_MALE_1,Mus musculus,BALB/cByJ,male,primary cultured fibroblast cell,growth protocol,P246,D5,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
BALBCM1,BALBCM1_P270_C8_BALBC_MALE_2,Mus musculus,BALB/cByJ,male,primary cultured fibroblast cell,growth protocol,P270,C8,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
BALBCM2,BALBCM2_P270_C6_BALBC_MALE_2,Mus musculus,BALB/cByJ,male,primary cultured fibroblast cell,growth protocol,P270,C6,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
BALBCM3,BALBCM3_P270_D5_BALBC_MALE_2,Mus musculus,BALB/cByJ,male,primary cultured fibroblast cell,growth protocol,P270,D5,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
C3HF1,C3HF1_P246_B4_C3H_FEMALE_1,Mus musculus,C3H/HeMsNsrf,female,primary cultured fibroblast cell,growth protocol,P246,B4,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
C3HF2,C3HF2_P246_A4_C3H_FEMALE_1,Mus musculus,C3H/HeMsNsrf,female,primary cultured fibroblast cell,growth protocol,P246,A4,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
C3HF3,C3HF3_P246_H2_C3H_FEMALE_1,Mus musculus,C3H/HeMsNsrf,female,primary cultured fibroblast cell,growth protocol,P246,H2,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
C3HF1,C3HF1_P270_B4_C3H_FEMALE_2,Mus musculus,C3H/HeMsNsrf,female,primary cultured fibroblast cell,growth protocol,P270,B4,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
C3HF2,C3HF2_P270_A4_C3H_FEMALE_2,Mus musculus,C3H/HeMsNsrf,female,primary cultured fibroblast cell,growth protocol,P270,A4,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
C3HF3,C3HF3_P270_H2_C3H_FEMALE_2,Mus musculus,C3H/HeMsNsrf,female,primary cultured fibroblast cell,growth protocol,P270,H2,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
C3HM1,C3HM1_P246_G2_C3H_MALE_1,Mus musculus,C3H/HeMsNsrf,male,primary cultured fibroblast cell,growth protocol,P246,G2,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
C3HM2,C3HM2_P246_H1_C3H_MALE_1,Mus musculus,C3H/HeMsNsrf,male,primary cultured fibroblast cell,growth protocol,P246,H1,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
C3HM3,C3HM3_P246_G1_C3H_MALE_1,Mus musculus,C3H/HeMsNsrf,male,primary cultured fibroblast cell,growth protocol,P246,G1,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
C3HM1,C3HM1_P270_G2_C3H_MALE_2,Mus musculus,C3H/HeMsNsrf,male,primary cultured fibroblast cell,growth protocol,P270,G2,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
C3HM2,C3HM2_P270_H1_C3H_MALE_2,Mus musculus,C3H/HeMsNsrf,male,primary cultured fibroblast cell,growth protocol,P270,H1,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
C3HM3,C3HM3_P270_G1_C3H_MALE_2,Mus musculus,C3H/HeMsNsrf,male,primary cultured fibroblast cell,growth protocol,P270,G1,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
C57BLF1,C57BLF1_P246_A6_C57_FEMALE_1,Mus musculus,C57BL/6J,female,primary cultured fibroblast cell,growth protocol,P246,A6,irradiation protocol,highly charged energetic nuclei,26,Fe-56 ion radiation,600 megaelectronvolt per nucleon,170 kiloelectronvolt per micron,1 gray per minute,0.3 gray,8 hour,Not Applicable,Not Applicable,particle accelerator,NSRL
